MYEAR	PROJ	ORDERER	SLABO	ALABO	SDATE	STIME	EDATE	ETIME	SHIPC	CRUISE_NO	SERNO	STATN	LATIT	LONGI	POSYS	WADEP	COMNT_VISIT	ADD_SMP	SMTYP	INSTRUMENT_ID	REFSK_SMP	REV_DATE	FILE_NAME	FILE_NAME_DATABASE	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-01	05:29			77SE	SMHI-02-2020	0086	Laso ranna	5726.43	01049.68	GPS								SBE09_1387_20200201_0529_77_10_0086.cnv	ctd_profile_20200201_77SE_0086.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-01	15:33			77SE	SMHI-02-2020	0089	SW Vinga	5732.64	01134.29	GPS								SBE09_1387_20200201_1533_77_10_0089.cnv	ctd_profile_20200201_77SE_0089.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-01	17:17			77SE	SMHI-02-2020	0090	7W Vinga	5740.44	01122.68	GPS								SBE09_1387_20200201_1717_77_10_0090.cnv	ctd_profile_20200201_77SE_0090.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-01	19:21			77SE	SMHI-02-2020	0091	Hertas flak	5740.28	01055.81	GPS								SBE09_1387_20200201_1921_77_10_0091.cnv	ctd_profile_20200201_77SE_0091.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-02	05:29			77SE	SMHI-02-2020	0094	Persgrund	5840.54	01048.72	GPS								SBE09_1387_20200202_0529_77_10_0094.cnv	ctd_profile_20200202_77SE_0094.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-02	10:47			77SE	SMHI-02-2020	0095	Kilebojen	5833.38	01053.14	GPS								SBE09_1387_20200202_1047_77_10_0095.cnv	ctd_profile_20200202_77SE_0095.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-02	13:16			77SE	SMHI-02-2020	0096	5W Vaderoarna	5830.15	01050.85	GPS								SBE09_1387_20200202_1316_77_10_0096.cnv	ctd_profile_20200202_77SE_0096.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-02	16:24			77SE	SMHI-02-2020	0097	NW Skagga	5828.02	01108.24	GPS								SBE09_1387_20200202_1624_77_10_0097.cnv	ctd_profile_20200202_77SE_0097.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-03	05:14			77SE	SMHI-02-2020	0100	36N Hanstholm	5747.51	00847.84	GPS								SBE09_1387_20200203_0514_77_10_0100.cnv	ctd_profile_20200203_77SE_0100.txt								
2020	BAS	HAV, SMHI	SMHI	SMHI	2020-02-03	09:35			77SE	SMHI-02-2020	0101	31N Hanstholm	5739.46	00850.45	GPS								SBE09_1387_20200203_0935_77_10_0101.cnv	ctd_profile_20200203_77SE_0101.txt								
